awaywon,awaylost,homewon,homelost,homeWins,homeLosses,homeOvertimeLosses,homeConferenceWins,homeConferenceLosses,homeDivisionWins,homeDivisionLosses,homeShutoutWins,homeConferenceRank,homeDivisionRank,awayWins,awayLosses,awayOvertimeLosses,awayConferenceWins,awayConferenceLosses,awayDivisionWins,awayDivisionLosses,awayShutoutWins,awayConferenceRank,awayDivisionRank,IsClosed,AwayTeam,HomeTeam,AwayTeamMoneyLine,HomeTeamMoneyLine,PointSpread,OverUnder,PointSpreadAwayTeamMoneyLine,PointSpreadHomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,OverPayout,UnderPayout,outcome
0.0,1.0,1.0,0.0,51,23,8,29,21,15,11,3,5,3,46,25,11,28,22,14,12,7,7,3,True,PIT,TB,74.0,-92.0,-0.5,0.7000000000000001,-40.0,-35.0,0.0,0.0,-34.0,-40.0,away
1.0,0.0,0.0,1.0,49,27,6,34,16,21,5,4,5,2,40,30,12,26,24,13,13,1,10,5,True,VAN,EDM,54.0,-65.0,-0.5,0.7000000000000001,-49.0,41.0,19.0,18.0,-42.0,35.0,home
0.0,1.0,1.0,0.0,56,19,7,34,16,15,11,7,1,1,28,42,12,16,34,5,21,3,14,7,True,CHI,COL,52.0,-63.0,-0.5,0.7000000000000001,-52.0,43.0,19.0,19.0,-41.0,34.0,home
0.0,1.0,1.0,0.0,54,21,7,34,16,16,10,7,3,2,22,49,11,15,35,9,17,3,16,8,True,MON,TOR,54.0,-65.0,-0.5,0.7000000000000001,-50.0,42.0,18.0,18.0,-38.0,-36.0,home
0.0,1.0,1.0,0.0,44,26,12,29,21,16,10,8,8,4,52,24,6,35,15,16,10,9,4,2,True,NYR,WAS,-35.0,-38.0,-0.5,0.7000000000000001,-86.0,68.0,17.0,17.0,-35.0,-38.0,home
1.0,1.0,0.0,1.0,32,39,11,17,33,8,18,1,11,5,22,49,11,15,35,9,17,3,16,8,True,MON,BUF,-49.0,41.0,0.2,0.7000000000000001,55.0,-67.0,21.0,21.0,34.0,-41.0,home
2.0,0.0,0.0,1.0,32,40,10,22,28,8,18,4,12,6,51,23,8,29,21,15,11,3,5,3,True,TB,DET,-74.0,61.0,0.2,0.6000000000000001,38.0,-45.0,25.0,24.0,-37.0,-36.0,home
1.0,0.0,0.0,1.0,54,20,8,30,20,17,9,6,2,1,37,35,10,24,26,15,11,9,9,5,True,NYI,CAR,37.0,-43.0,-0.5,0.6000000000000001,-81.0,65.0,23.0,22.0,-35.0,-38.0,home
1.0,0.0,0.0,1.0,44,27,11,21,29,12,14,5,6,3,43,31,8,27,23,16,10,3,9,4,True,VEG,LA,-52.0,43.0,0.2,0.6000000000000001,51.0,-63.0,26.0,26.0,-37.0,-37.0,home
0.0,1.0,1.0,1.0,52,24,6,35,15,16,10,9,4,2,46,30,6,27,23,14,12,2,7,4,True,DAL,NYR,38.0,-45.0,-0.5,0.7000000000000001,-75.0,61.0,23.0,23.0,33.0,-40.0,home
2.0,0.0,0.0,1.0,33,42,7,22,28,11,15,2,13,7,54,21,7,34,16,16,10,7,3,2,True,TOR,OTT,-59.0,49.0,0.2,0.7000000000000001,44.0,-54.0,21.0,20.0,-41.0,34.0,home
1.0,1.0,0.0,1.0,58,18,6,37,13,19,7,5,1,1,46,25,11,28,22,14,12,7,7,3,True,PIT,FLA,51.0,-62.0,-0.5,0.7000000000000001,-54.0,45.0,22.0,22.0,-35.0,-39.0,home
0.0,1.0,1.0,0.0,37,38,7,21,29,9,17,2,10,6,25,50,7,16,34,10,16,1,16,8,True,ARI,CBJ,47.0,-56.0,-0.5,0.6000000000000001,-61.0,50.0,24.0,24.0,-34.0,-39.0,home
